# Traditional → Simplified Chinese codepoint mapping
# Generated by build_trad_simp_mapping.py from Unihan_Variants.txt
# Format: TRAD_HEX<TAB>SIMP_HEX
0x5920	0x591F
0x5922	0x68A6
0x5925	0x4F19
0x5934	0x5934
0x5938	0x5938
0x593E	0x5939
0x5950	0x5942
0x5967	0x5965
0x5969	0x5941
0x596A	0x593A
0x596B	0x2BBF6
0x596C	0x5956
0x596E	0x594B
0x596F	0x2BBE5
0x5972	0x2BC02
0x5978	0x5978
0x597C	0x59F9
0x599D	0x5986
0x59CD	0x59D7
0x59D7	0x59D7
0x59DC	0x59DC
0x59E6	0x5978
0x59F9	0x59F9
0x5A04	0x5A04
0x5A07	0x5A07
0x5A08	0x5A08
0x5A19	0x2BC1B
0x5A1B	0x5A31
0x5A31	0x5A31
0x5A41	0x5A04
0x5A61	0x2B76B
0x5A66	0x5987
0x5A6D	0x5A05
0x5A78	0x302F8
0x5A81	0x2BC0D
0x5A88	0x2B768
0x5A9C	0x30302
0x5AA7	0x5A32
0x5AAF	0x59AB
0x5AB0	0x36C0
0x5ABC	0x5AAA
0x5ABD	0x5988
0x5AC8	0x30300
0x5AD7	0x59AA
